freq,psd_x,psd_y,psd_z,psd_xyz
160.2,7.876e+03,1.152e+03,3.185e+04,4.088e+04
161.7,8.762e+03,1.389e+03,3.498e+04,4.513e+04
163.2,9.421e+03,1.478e+03,3.602e+04,4.692e+04
164.7,9.460e+03,1.480e+03,3.590e+04,4.684e+04
166.2,8.911e+03,1.462e+03,3.489e+04,4.527e+04
167.7,8.282e+03,1.452e+03,3.377e+04,4.350e+04
169.2,7.773e+03,1.778e+03,3.334e+04,4.289e+04
170.7,9.059e+03,1.841e+03,3.326e+04,4.416e+04
172.2,8.729e+03,1.480e+03,3.106e+04,4.127e+04
173.7,7.009e+03,1.498e+03,2.930e+04,3.781e+04
175.2,7.994e+03,1.641e+03,2.868e+04,3.832e+04
176.7,9.595e+03,1.440e+03,2.994e+04,4.098e+04
178.2,9.623e+03,1.227e+03,3.085e+04,4.170e+04
179.7,1.120e+04,1.399e+03,3.226e+04,4.486e+04
181.2,1.242e+04,1.213e+03,3.331e+04,4.695e+04
182.7,1.156e+04,1.491e+03,3.491e+04,4.796e+04
184.2,1.113e+04,1.744e+03,3.429e+04,4.717e+04
185.7,1.079e+04,2.115e+03,3.109e+04,4.399e+04
187.2,1.016e+04,2.300e+03,2.904e+04,4.149e+04
188.7,1.001e+04,2.823e+03,2.733e+04,4.016e+04
190.2,1.028e+04,3.628e+03,2.547e+04,3.938e+04
191.7,8.300e+03,3.675e+03,2.235e+04,3.433e+04
193.2,7.905e+03,3.588e+03,1.806e+04,2.955e+04
194.7,8.355e+03,3.612e+03,1.556e+04,2.752e+04
196.2,8.635e+03,2.511e+03,1.362e+04,2.476e+04
197.7,7.988e+03,1.771e+03,1.604e+04,2.580e+04
199.2,8.579e+03,1.566e+03,2.399e+04,3.414e+04
