freq,psd_x,psd_y,psd_z,psd_xyz
171.6,1.738e+04,2.575e+03,1.419e+03,2.138e+04
173.1,1.840e+04,2.998e+03,1.190e+03,2.259e+04
174.6,1.882e+04,2.882e+03,1.374e+03,2.308e+04
176.1,1.688e+04,2.928e+03,1.546e+03,2.136e+04
177.6,1.880e+04,2.527e+03,1.962e+03,2.329e+04
179.1,2.059e+04,2.744e+03,2.757e+03,2.609e+04
180.7,2.015e+04,2.952e+03,2.851e+03,2.596e+04
182.2,1.624e+04,2.702e+03,2.343e+03,2.129e+04
183.7,1.367e+04,3.243e+03,2.178e+03,1.909e+04
185.2,1.428e+04,2.974e+03,1.798e+03,1.906e+04
186.7,1.833e+04,2.947e+03,1.709e+03,2.299e+04
188.2,1.698e+04,2.788e+03,1.513e+03,2.128e+04
189.7,1.497e+04,2.727e+03,2.012e+03,1.971e+04
191.2,1.701e+04,2.790e+03,1.952e+03,2.175e+04
192.7,1.703e+04,2.377e+03,2.036e+03,2.144e+04
194.2,1.775e+04,2.734e+03,1.780e+03,2.227e+04
195.7,1.583e+04,3.156e+03,1.755e+03,2.074e+04
197.2,1.528e+04,2.972e+03,1.944e+03,2.020e+04
198.7,1.520e+04,2.639e+03,2.177e+03,2.002e+04
