freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.786e+03,8.420e+02,9.857e+01,6.726e+03
1.5,2.493e+04,2.176e+03,4.988e+02,2.761e+04
3.0,3.486e+04,1.711e+03,4.857e+02,3.706e+04
4.5,4.107e+04,2.530e+03,4.972e+02,4.409e+04
6.0,4.189e+04,3.209e+03,6.940e+02,4.579e+04
7.5,3.645e+04,3.838e+03,7.549e+02,4.105e+04
9.0,3.267e+04,4.767e+03,5.712e+02,3.800e+04
10.5,3.225e+04,4.701e+03,3.910e+02,3.734e+04
12.0,3.004e+04,5.922e+03,5.465e+02,3.651e+04
13.5,3.879e+04,7.682e+03,7.490e+02,4.722e+04
15.1,3.515e+04,9.814e+03,7.501e+02,4.572e+04
16.6,3.270e+04,1.280e+04,6.014e+02,4.610e+04
18.1,2.935e+04,1.560e+04,5.764e+02,4.553e+04
19.6,3.703e+04,1.641e+04,4.786e+02,5.392e+04
21.1,3.684e+04,1.903e+04,8.132e+02,5.669e+04
22.6,3.761e+04,2.410e+04,8.220e+02,6.253e+04
24.1,3.341e+04,2.788e+04,9.064e+02,6.219e+04
25.6,3.720e+04,3.286e+04,8.145e+02,7.087e+04
27.1,3.152e+04,3.965e+04,6.353e+02,7.181e+04
28.6,3.233e+04,4.600e+04,6.799e+02,7.901e+04
30.1,2.957e+04,5.765e+04,6.451e+02,8.786e+04
31.6,3.447e+04,7.292e+04,6.171e+02,1.080e+05
33.1,2.961e+04,8.694e+04,5.079e+02,1.171e+05
34.6,2.844e+04,1.065e+05,5.166e+02,1.355e+05
36.1,3.793e+04,1.487e+05,5.165e+02,1.871e+05
37.6,3.746e+04,2.137e+05,7.567e+02,2.519e+05
39.1,3.309e+04,3.001e+05,9.543e+02,3.341e+05
40.6,3.792e+04,3.861e+05,9.208e+02,4.249e+05
42.2,3.897e+04,5.014e+05,1.196e+03,5.416e+05
43.7,2.883e+04,7.810e+05,1.319e+03,8.111e+05
45.2,4.531e+04,1.425e+06,2.722e+03,1.473e+06
46.7,9.581e+04,2.554e+06,5.590e+03,2.656e+06
48.2,8.805e+04,2.881e+06,7.490e+03,2.976e+06
49.7,6.932e+04,1.775e+06,5.580e+03,1.849e+06
51.2,8.204e+04,1.284e+06,3.781e+03,1.370e+06
52.7,8.806e+04,1.170e+06,2.150e+03,1.260e+06
54.2,7.155e+04,9.554e+05,1.843e+03,1.029e+06
55.7,7.196e+04,8.612e+05,3.134e+03,9.363e+05
57.2,9.273e+04,7.749e+05,4.110e+03,8.717e+05
58.7,8.964e+04,6.889e+05,4.437e+03,7.830e+05
60.2,1.176e+05,6.283e+05,5.448e+03,7.513e+05
61.7,1.702e+05,5.820e+05,7.368e+03,7.596e+05
63.2,2.098e+05,4.915e+05,8.991e+03,7.103e+05
64.7,1.903e+05,2.875e+05,6.154e+03,4.839e+05
66.2,1.610e+05,1.326e+05,3.727e+03,2.973e+05
67.7,1.334e+05,7.481e+04,4.306e+03,2.125e+05
69.2,7.951e+04,8.585e+04,3.420e+03,1.688e+05
70.8,4.373e+04,1.250e+05,1.718e+03,1.704e+05
72.3,3.852e+04,1.626e+05,1.375e+03,2.025e+05
73.8,5.087e+04,2.014e+05,2.253e+03,2.545e+05
75.3,6.839e+04,2.630e+05,3.556e+03,3.349e+05
76.8,1.109e+05,3.570e+05,5.190e+03,4.730e+05
78.3,1.953e+05,4.021e+05,6.921e+03,6.043e+05
79.8,2.177e+05,3.089e+05,2.057e+04,5.472e+05
81.3,1.837e+05,2.141e+05,3.666e+04,4.344e+05
82.8,1.777e+05,1.651e+05,3.482e+04,3.777e+05
84.3,1.864e+05,1.230e+05,2.605e+04,3.354e+05
85.8,1.789e+05,7.700e+04,1.597e+04,2.718e+05
87.3,1.533e+05,4.488e+04,9.646e+03,2.079e+05
88.8,1.297e+05,3.309e+04,7.424e+03,1.702e+05
90.3,1.084e+05,3.530e+04,6.656e+03,1.503e+05
91.8,8.386e+04,4.002e+04,6.341e+03,1.302e+05
93.3,7.255e+04,4.697e+04,7.938e+03,1.275e+05
94.8,6.295e+04,5.267e+04,1.060e+04,1.262e+05
96.3,5.449e+04,5.696e+04,1.206e+04,1.235e+05
97.9,5.882e+04,6.171e+04,1.120e+04,1.317e+05
99.4,5.707e+04,6.904e+04,1.049e+04,1.366e+05
100.9,5.501e+04,7.785e+04,8.969e+03,1.418e+05
102.4,4.569e+04,8.777e+04,7.467e+03,1.409e+05
103.9,4.350e+04,9.549e+04,5.895e+03,1.449e+05
105.4,4.487e+04,9.944e+04,4.515e+03,1.488e+05
106.9,3.678e+04,9.915e+04,3.029e+03,1.390e+05
108.4,2.945e+04,9.335e+04,2.092e+03,1.249e+05
109.9,3.148e+04,7.826e+04,1.721e+03,1.115e+05
111.4,3.943e+04,5.936e+04,1.948e+03,1.007e+05
112.9,3.831e+04,6.020e+04,2.600e+03,1.011e+05
114.4,3.589e+04,7.961e+04,3.608e+03,1.191e+05
115.9,3.746e+04,8.927e+04,4.097e+03,1.308e+05
117.4,3.849e+04,7.514e+04,4.551e+03,1.182e+05
118.9,4.408e+04,5.667e+04,4.314e+03,1.051e+05
120.4,4.571e+04,4.521e+04,3.783e+03,9.470e+04
121.9,4.561e+04,3.952e+04,3.755e+03,8.888e+04
123.4,3.989e+04,3.485e+04,3.372e+03,7.811e+04
124.9,3.472e+04,3.377e+04,4.011e+03,7.250e+04
126.5,3.757e+04,3.604e+04,4.662e+03,7.828e+04
128.0,3.396e+04,3.651e+04,5.179e+03,7.564e+04
129.5,2.534e+04,3.410e+04,5.080e+03,6.452e+04
131.0,3.097e+04,3.108e+04,4.772e+03,6.683e+04
132.5,3.182e+04,2.057e+04,3.884e+03,5.627e+04
134.0,1.932e+04,5.768e+03,2.866e+03,2.796e+04
135.5,1.801e+04,4.154e+03,2.340e+03,2.451e+04
137.0,2.084e+04,4.229e+03,1.850e+03,2.692e+04
138.5,2.687e+04,4.493e+03,1.818e+03,3.318e+04
140.0,2.240e+04,4.498e+03,1.644e+03,2.854e+04
141.5,2.484e+04,4.762e+03,1.949e+03,3.155e+04
143.0,2.051e+04,4.421e+03,1.929e+03,2.686e+04
144.5,1.865e+04,5.383e+03,1.746e+03,2.578e+04
146.0,1.965e+04,5.838e+03,1.826e+03,2.731e+04
147.5,1.716e+04,7.073e+03,1.937e+03,2.617e+04
149.0,1.649e+04,7.226e+03,2.257e+03,2.597e+04
150.5,1.972e+04,5.857e+03,2.592e+03,2.817e+04
152.0,1.719e+04,4.127e+03,2.450e+03,2.376e+04
153.6,1.875e+04,3.891e+03,2.175e+03,2.481e+04
155.1,2.087e+04,3.661e+03,2.036e+03,2.656e+04
156.6,1.659e+04,2.930e+03,1.747e+03,2.127e+04
158.1,1.509e+04,3.595e+03,1.778e+03,2.047e+04
159.6,1.567e+04,4.367e+03,1.549e+03,2.159e+04
161.1,1.694e+04,4.990e+03,1.441e+03,2.337e+04
162.6,1.918e+04,5.031e+03,1.694e+03,2.590e+04
164.1,2.440e+04,5.720e+03,1.719e+03,3.184e+04
165.6,2.080e+04,5.155e+03,1.451e+03,2.740e+04
167.1,1.818e+04,4.422e+03,1.668e+03,2.427e+04
168.6,1.864e+04,3.333e+03,1.791e+03,2.376e+04
170.1,1.418e+04,2.989e+03,1.509e+03,1.868e+04
